"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Scottie Barnes,Tor,*,F-G,24.4,26,33.9,24,13.8,98,0.847,299,0.538,94,0.383,0.547,0.588,19.7,7.8,5.3,1.4,1.6,2.4,27.6,25,32.8,11,118.3,106.9"
",Jakob Poeltl,Tor,*,C,30.2,19,26.1,14.4,18.9,47,0.596,120,0.692,0,0,0.692,0.69,10.2,8,2.3,0.8,0.5,1.5,18.2,12.5,20.5,8.8,132.4,102.5"
",RJ Barrett,Tor,*,F-G,25.5,17,30.9,24,9.9,80,0.725,150,0.593,87,0.356,0.572,0.604,19.4,4.8,3.8,0.8,0.2,1.5,24.2,23.1,27.9,9.2,119.7,109.8"
",Immanuel Quickley,Tor,*,G,26.5,25,32.2,20.7,12,64,0.75,156,0.564,165,0.382,0.569,0.591,16.5,4.2,6.2,1.2,0,1.8,20.8,22.7,27,9.4,119.7,111.8"
",Ochai Agbaji,Tor,*,G,25.6,18,14.6,12.2,7.1,13,0.769,44,0.523,21,0.095,0.4,0.438,3.4,2.1,0.7,0.4,0.3,0.3,5.5,4.2,6.2,4.7,100,105.6"
",Sandro Mamukelashvili,Tor,*,F-C,26.6,25,19.5,18.9,10.7,49,0.776,107,0.607,68,0.368,0.586,0.618,9.7,4.3,1.7,0.5,0.6,0.8,14,11.4,15.8,8.5,125.1,109.6"
",Gradey Dick,Tor,*,G-F,22.1,26,15.8,16.9,8.8,38,0.842,61,0.508,73,0.315,0.489,0.541,6.3,1.9,0.7,0.6,0.1,0.5,8.2,6.9,8.8,5.1,108.8,111.6"
",Jamal Shead,Tor,*,G,23.4,26,19.8,15.7,17.4,43,0.791,65,0.4,77,0.338,0.458,0.51,6.3,1.8,5.2,1.2,0.1,1.2,8.2,11.5,13.3,7.9,116.8,108.2"
",Jonathan Mogbo,Tor,*,F,24.1,11,4.6,11.4,7.4,1,1,12,0.5,0,0,0.5,0.523,1.2,1.4,0.5,0.1,0.3,0.1,2.5,1.7,3.1,8.2,133.9,106.9"
",Jamison Battle,Tor,*,F,24.6,17,8.1,13.9,13.8,5,0.8,15,0.8,22,0.591,0.851,0.855,3.9,1.4,0.2,0.1,0.1,0.4,5.3,4.2,5.5,5.1,137.8,110.7"
